maj_foreign,maj_race,pct_publictrans,time_travel_workE,med_incomeE,avg_travel_time
FALSE,white,0.007692307692307693,28125,26427,19.667832167832167
FALSE,white,0.009174311926605505,31240,27446,22.046577275935075
FALSE,white,0.01617757712565839,72955,37063,27.447328818660647
FALSE,white,0.0085,65775,38177,32.8875
FALSE,white,0.035240040858018386,126275,33935,32.24591419816139
FALSE,white,0.009584664536741214,29805,30534,23.80591054313099
FALSE,white,0.007427055702917772,48070,40409,25.50132625994695
FALSE,no_majority,0.030678851174934726,100155,29434,21.79177545691906
FALSE,white,0.014512167894619335,102910,31972,22.97611073900424
FALSE,white,0.024849699398797595,75160,70444,30.12424849699399
FALSE,white,0.03713798977853492,73205,25165,24.94207836456559
FALSE,white,0.05862068965517241,62920,59808,30.995073891625616
FALSE,no_majority,0.10950080515297907,73540,19802,23.684380032206118
FALSE,white,0.023529411764705882,73695,50676,28.9
FALSE,white,0.05203045685279188,100375,46637,25.475888324873097
FALSE,white,0.08316130934827484,96180,58327,28.363314656443528
FALSE,white,0.126875,82895,42311,25.9046875
FALSE,white,0.07809640024405125,42140,29213,25.710799267846248
FALSE,hs_latino,0.16721491228070176,53930,29932,29.56688596491228
FALSE,no_majority,0.05304518664047151,26035,14649,25.574656188605108
FALSE,white,0.06855479089465326,119915,40172,31.740338803599787
FALSE,white,0.0375,51600,30621,19.545454545454547
FALSE,white,0.014009064688916358,59690,40270,24.594149155335806
FALSE,white,0.059802392095683825,32885,26789,17.100884035361414
FALSE,white,0.04252400548696845,31720,26895,21.755829903978054
FALSE,white,0,20515,34500,22.420765027322403
FALSE,white,0.04866310160427807,53380,42675,28.545454545454547
FALSE,white,0.030169050715214564,102175,40816,26.573472041612483
FALSE,white,0.017880620562713646,95575,37527,25.131475151196423
FALSE,white,0.009009009009009009,102910,59949,35.658350658350656
FALSE,white,0.07372322899505766,75165,50074,30.957578253706753
FALSE,white,0.09992652461425422,80295,26083,29.498530492285084
FALSE,no_majority,0.06882453151618399,69950,35418,23.83304940374787
FALSE,white,0.13236627379873073,64430,40000,29.206708975521305
FALSE,white,0.03896518684126477,69685,38045,22.256467582242095
FALSE,white,0.0712863401035444,67780,41626,26.993229788928712
TRUE,no_majority,0.22503725782414308,69000,17785,34.277198211624444
FALSE,white,0.03430599369085174,52705,27027,20.782728706624606
